Team_Name,Team_Rank,Team_Page
Heroic,#1,/team/7175/heroic
Vitality,#2,/team/9565/vitality
Natus Vincere,#3,/team/4608/natus-vincere
G2,#4,/team/5995/g2
FaZe,#5,/team/6667/faze
Cloud9,#6,/team/5752/cloud9
Liquid,#7,/team/5973/liquid
FURIA,#8,/team/8297/furia
ENCE,#9,/team/4869/ence
Virtus.pro,#10,/team/5378/virtuspro
BIG,#11,/team/7532/big
MOUZ,#12,/team/4494/mouz
OG,#13,/team/10503/og
Ninjas in Pyjamas,#14,/team/4411/ninjas-in-pyjamas
fnatic,#15,/team/4991/fnatic
FORZE,#16,/team/8135/forze
paiN,#17,/team/4773/pain
Complexity,#18,/team/5005/complexity
9INE,#19,/team/10278/9ine
Spirit,#20,/team/7020/spirit
Astralis,#21,/team/6665/astralis
Monte,#22,/team/11811/monte
Bad News Eagles,#23,/team/11518/bad-news-eagles
TheMongolz,#24,/team/6248/themongolz
Movistar Riders,#25,/team/7718/movistar-riders
Grayhound,#26,/team/8008/grayhound
GamerLegion,#27,/team/9928/gamerlegion
Imperial,#28,/team/9455/imperial
00NATION,#29,/team/11309/00nation
MIBR,#30,/team/9215/mibr
